player_id,map_id,chosen_weapon,elapsed_time,has_finished,has_died,total_keys,collected_keys,total_locks,opened_locks,total_rooms,number_of_visited_rooms,total_visits,number_of_over_visited_rooms,player_initial_health,player_final_health,player_lost_health,number_of_enemies,number_of_killed_enemies,number_of_npcs,number_of_interacted_npcs,total_treasures,collected_treasures,max_combo,PostQuestion 0,PostQuestion 1,PostQuestion 2,PostQuestion 3,PostQuestion 4,PostQuestion 5,PostQuestion 6,PostQuestion 7,
8817_12-3-2021-4-21-32-AM,R32-K3-L3-E41-L1.4-CE0.5~0.6-LE0.2~0.3,4,8,False,True,3,1,3,0,32,2,2,0,10,0,10,41,2,7,0,500,0,3,-1,-1,-1,-1,-1,-1,-1,-1,
8817_12-3-2021-4-21-32-AM,R32-K3-L3-E41-L1.4-CE0.5~0.6-LE0.2~0.3,4,14,False,True,3,1,3,0,32,3,3,0,10,0,10,41,2,7,0,500,0,8,-1,-1,-1,-1,-1,-1,-1,-1,
8817_12-3-2021-4-21-32-AM,R32-K3-L3-E41-L1.4-CE0.5~0.6-LE0.2~0.3,4,19,False,True,3,0,3,0,32,4,4,0,10,0,10,41,3,7,0,500,0,6,-1,-1,-1,-1,-1,-1,-1,-1,
8817_12-3-2021-4-21-32-AM,R32-K3-L3-E41-L1.4-CE0.5~0.6-LE0.2~0.3,4,19,True,True,3,0,3,0,32,0,0,0,10,0,10,41,3,7,0,500,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
